xx,yy,zz,label,correlation
57.2123,-12.4516,-3.9365,Stroke,0.793759444
53.0669,-21.2191,-14.2854,Stroke,0.809791833
47.2514,-23.4921,-21.6934,Stroke,0.822319556
52.5452,-19.7952,-12.7283,Stroke,0.8355775
52.268,-21.8154,-15.5019,Stroke,0.828727
46.6839,-22.9594,-21.6803,Stroke,0.804752778
53.8676,-20.6624,-12.7504,Stroke,0.821809889
49.8803,-21.2215,-16.8073,Stroke,0.805120944
51.412,-19.0943,-13.5495,Stroke,0.8104385
53.9813,-15.7324,-8.80113,Stroke,0.802620778
49.2393,-21.4811,-17.1392,Stroke,0.826295667
48.0231,-21.7357,-19.4647,Stroke,0.833399278
51.4864,-21.5917,-15.5433,Stroke,0.824977056
48.1797,-20.9958,-17.3579,Stroke,0.808373667
49.8977,-16.3282,-11.119,Stroke,0.819170611
51.5469,-18.2361,-10.7587,Stroke,0.837175444
54.3961,-18.7327,-11.1251,Stroke,0.832602167
48.9219,-22.5891,-18.8076,Stroke,0.806556222
50.015,-21.4594,-18.0038,Stroke,0.798781167
47.6216,-23.9791,-21.7221,Stroke,0.814733944
48.6503,-22.8544,-19.905,Stroke,0.825320167
51.3498,-21.3806,-15.9202,Stroke,0.823269111
49.8444,-19.7309,-14.2986,Stroke,0.833112
53.8411,-18.4811,-10.206,Stroke,0.828286111
49.2243,-23.2709,-18.8379,Stroke,0.820695722
50.931,-22.0352,-17.3807,Stroke,0.820104056
49.9946,-21.5673,-15.6869,Stroke,0.810174389
50.5429,-22.1149,-14.8708,Stroke,0.820838389
49.7533,-22.7441,-16.8974,Stroke,0.8217005
52.4428,-21.2712,-14.5617,Stroke,0.829069833
51.1352,-20.2874,-15.0592,Stroke,0.82701
49.1975,-22.0899,-18.4814,Stroke,0.823674167
49.5526,-22.4784,-16.3824,Stroke,0.815933778
44.4262,-26.0423,-26.0595,Stroke,0.811087333
47.8362,-25.9614,-23.7511,Stroke,0.819031889
46.8197,-26.4973,-24.6638,Stroke,0.8118205
48.4824,-20.5393,-16.5156,Stroke,0.830106278
54.2219,-18.0388,-10.3818,Stroke,0.795391722
48.367,-24.3003,-20.7824,Stroke,0.823733278
45.4365,-23.6892,-23.8687,Stroke,0.817092389
45.5966,-22.2016,-20.4959,Stroke,0.847250556
49.0217,-21.7513,-16.6996,Stroke,0.804873056
46.4409,-19.5385,-18.2158,Stroke,0.790016278
52.0303,-21.3503,-14.9685,Stroke,0.817205167
45.5898,-25.2291,-24.5248,Stroke,0.825847611
46.0524,-22.7163,-21.8331,Stroke,0.828163389
49.7585,-23.0561,-17.4244,Stroke,0.837956556
51.7051,-23.0383,-16.8591,Stroke,0.811731944
44.6449,-20.9692,-21.1641,Stroke,0.810888889
54.5793,-18.6099,-10.9138,Stroke,0.7956955
44.6811,-25.2086,-26.1627,Stroke,0.801500389
49.5976,-24.547,-19.7358,Stroke,0.817418444
47.8845,-25.4154,-24.088,Stroke,0.814229444
46.058,-20.6024,-20.6468,Stroke,0.805411444
54.6024,-14.9626,-6.87305,Stroke,0.814354556
53.4441,-17.48,-10.7283,Stroke,0.833306611
51.5734,-17.801,-11.7416,Stroke,0.839989667
52.498,-20.4798,-12.5852,Stroke,0.795972778
53.9787,17.8584,11.2382,Stroke,0.799624833
57.2544,7.36109,6.69019,Stroke,0.814239389
50.6048,22.1443,11.6202,Stroke,0.827554222
50.0711,25.5141,11.6821,Stroke,0.752078278
51.869,17.3043,11.0693,Stroke,0.837944444
51.1081,20.9675,11.2261,Stroke,0.818209222
49.2629,24.0669,12.2098,Stroke,0.840458389
49.1918,24.3584,12.8601,Stroke,0.843732333
49.526,23.9932,11.0517,Stroke,0.838130667
49.3395,25.3795,13.3036,Stroke,0.8384475
53.8359,18.9268,9.95707,Stroke,0.799990056
50.5035,19.138,10.0734,Stroke,0.803849333
49.5842,24.5729,12.0991,Stroke,0.817604278
52.8612,21.2488,11.6534,Stroke,0.808865167
52.325,16.3267,11.5971,Stroke,0.826162722
52.0871,18.8318,10.9706,Stroke,0.814791556
54.5421,13.8656,13.1856,Stroke,0.831222222
52.8211,18.5585,12.8036,Stroke,0.816497611
53.6618,12.6836,10.3558,Stroke,0.824153222
54.9676,14.5809,13.2562,Stroke,0.814174389
56.689,10.4404,10.6178,Stroke,0.817662333
56.513,4.79066,6.30201,Stroke,0.834046
51.4212,19.3717,12.4634,Stroke,0.821239111
52.4718,20.0047,14.5109,Stroke,0.828116111
48.8784,21.2476,12.4247,Stroke,0.840555778
47.9535,24.8315,12.1595,Stroke,0.822044667
51.0954,21.8244,13.7313,Stroke,0.835413667
51.781,20.7955,11.7726,Stroke,0.839788278
48.5681,24.4585,14.7092,Stroke,0.853958556
47.9533,29.4375,13.1884,Stroke,0.764215889
54.9757,15.0841,12.3925,Stroke,0.804602778
57.2082,10.9563,12.2161,Stroke,0.836455333
55.2302,17.5217,14.5848,Stroke,0.821742278
54.0079,18.0663,14.4155,Stroke,0.818716833
50.3243,20.4561,13.702,Stroke,0.821960778
51.8592,20.098,12.9894,Stroke,0.823266556
50.2313,22.6796,15.2573,Stroke,0.835415667
47.4722,25.8058,13.0517,Stroke,0.8057575
50.7246,21.0349,15.0301,Stroke,0.828241222
47.8187,28.0273,15.055,Stroke,0.831004222
48.813,27.1808,14.3871,Stroke,0.7852355
51.5652,19.7059,13.6053,Stroke,0.828686556
42.8964,33.6883,12.7039,Stroke,0.805862444
49.7923,23.8155,12.5015,Stroke,0.800361111
54.0203,16.2815,13.9707,Stroke,0.815807444
50.3884,19.9001,11.6455,Stroke,0.826295611
49.1239,25.851,13.7512,Stroke,0.824599556
49.9754,25.8628,14.5866,Stroke,0.812245778
49.7632,21.0241,14.6804,Stroke,0.844624222
46.1213,29.1541,12.2465,Stroke,0.791268167
51.381,22.5617,12.5291,Stroke,0.778340667
55.0387,13.1771,10.7629,Stroke,0.810065944
51.3046,19.5415,12.0766,Stroke,0.8446075
49.2146,23.7416,13.3885,Stroke,0.814341333
55.2502,14.4588,13.156,Stroke,0.817319
51.6238,20.5372,14.1073,Stroke,0.817998333
48.0819,24.8283,13.0093,Stroke,0.778231167
47.9287,25.1024,12.6634,Stroke,0.831304167
50.067,22.7193,14.6315,Stroke,0.8033265
51.1704,17.7381,12.6698,Stroke,0.835303667
51.043,22.2859,13.5876,Stroke,0.817727611
51.9148,18.8729,13.2028,Stroke,0.820281889
49.6615,21.3935,13.8963,Stroke,0.837042278
51.338,22.2779,15.0654,Stroke,0.821160889
44.3902,28.7042,13.3957,Stroke,0.816705944
45.3676,25.9894,10.3929,Stroke,0.814444667
50.6552,22.1108,14.1052,Stroke,0.808667611
52.0936,19.6987,13.2371,Stroke,0.804742778
52.6051,17.6352,12.9735,Stroke,0.817067167
52.449,19.6837,14.0674,Stroke,0.82703
46.3119,28.0541,13.8907,Stroke,0.821671833
48.0053,25.9079,13.596,Stroke,0.799997167
48.8304,18.6952,11.4969,Stroke,0.826331611
46.5087,25.0997,10.7798,Stroke,0.812104
44.2975,31.2163,14.0678,Stroke,0.809282944
47.9243,24.9335,14.3701,Stroke,0.815720167
49.0824,24.1905,15.1962,Stroke,0.833995389
45.7881,26.655,14.6602,Stroke,0.807965111
47.9644,24.1491,14.9991,Stroke,0.805554667
48.3429,17.9626,14.1267,Stroke,0.841729611
49.0448,23.3106,14.0398,Stroke,0.817573722
52.4961,16.1477,14.712,Stroke,0.825242
51.1977,20.0107,15.7036,Stroke,0.816544167
53.0104,17.1131,13.6973,Stroke,0.813275889
52.8393,15.0888,13.0692,Stroke,0.802457778
52.7751,17.8426,14.5474,Stroke,0.823712722
42.5589,-0.429616,-23.0927,Stroke,0.583871722
28.7324,6.35038,-35.8465,Stroke,0.564633122
21.3401,31.3651,-27.8551,Stroke,0.574099889
24.2037,51.222,-10.6172,Stroke,0.650913283
26.9817,59.5104,-1.27009,Stroke,0.691702167
29.6744,57.8596,5.10519,Stroke,0.700329778
35.58,48.2503,7.44736,Stroke,0.706094278
34.4591,48.8227,7.17067,Stroke,0.682692056
27.3584,63.3034,2.15182,Stroke,0.6825206
30.8656,58.8234,6.5838,Stroke,0.679766833
39.7246,48.5834,10.8903,Stroke,0.686042794
37.667,45.5216,6.78829,Stroke,0.678646944
33.5704,52.608,9.0303,Stroke,0.723393222
34.8981,53.1339,8.92889,Stroke,0.720100411
39.1878,48.5461,10.6258,Stroke,0.699605028
33.1953,52.8601,7.13481,Stroke,0.729403444
39.9122,48.2215,11.6229,Stroke,0.70508935
35.1291,50.4334,9.06948,Stroke,0.708817778
39.0364,47.2319,10.8639,Stroke,0.711015189
45.3583,37.4796,13.1479,Stroke,0.654773322
35.5327,49.7025,8.55873,Stroke,0.715769722
36.9388,50.4177,10.3558,Stroke,0.703758922
34.467,51.228,8.20765,Stroke,0.714634889
35.8864,52.3271,10.4821,Stroke,0.705333833
42.7362,42.2194,12.5637,Stroke,0.700065139
38.159,47.2702,9.90777,Stroke,0.715621867
35.8004,49.6406,8.75299,Stroke,0.716778194
37.8021,50.3131,11.477,Stroke,0.710485667
35.5175,52.7736,10.142,Stroke,0.715483056
37.1266,49.6042,9.46928,Stroke,0.698397667
38.6383,50.2108,11.1337,Stroke,0.703631256
38.0726,44.3969,8.52006,Stroke,0.656936833
41.278,47.4072,12.325,Stroke,0.692018811
41.0362,44.4064,10.1485,Stroke,0.665024783
36.2981,52.5469,9.84853,Stroke,0.703673033
35.9991,53.7669,9.47034,Stroke,0.707454606
37.8335,48.9336,11.367,Stroke,0.691551028
45.8771,38.5189,13.3324,Stroke,0.68367765
44.529,39.4287,14.0177,Stroke,0.686349444
38.6642,49.9555,11.9412,Stroke,0.683678783
40.5074,44.4355,11.9357,Stroke,0.6846293
39.1395,48.9285,12.5908,Stroke,0.691492976
40.6923,45.1962,11.5024,Stroke,0.669069272
40.0571,46.7481,11.4224,Stroke,0.682317722
44.7323,45.2956,15.081,Stroke,0.679374
45.3605,36.4539,13.4818,Stroke,0.688201144
