colors1,colors2,colors3
1,0.311304348,0
1,0.111304348,0
1,0.156521739,0
1,0.15826087,0
1,0.085217391,0
1,0.095652174,0
1,0.100869565,0
1,0.102608696,0
1,0.052173913,0
1,0.022608696,0
1,0.052173913,0
1,0.07826087,0
1,0.074782609,0
0.963478261,0,0
0.989565217,0,0
1,0.057391304,0
0.946086957,0,0
0.986086957,0,0
0.972173913,0,0
0.980869565,0,0
0.951304348,0,0
0.96,0,0
1,0.008695652,0
1,0.053913043,0
0.913043478,0,0
0.862608696,0,0
0.836521739,0,0
1,0.055652174,0
1,0.003478261,0
0.874782609,0,0
0.991304348,0,0
0.975652174,0,0
0.994782609,0,0
1,0.060869565,0
1,0.095652174,0
0.914782609,0,0
0.982608696,0,0
0.916521739,0,0
1,0.010434783,0
1,0.045217391,0
0.846956522,0,0
0.893913043,0,0
0.982608696,0,0
0.928695652,0,0
0.970434783,0,0
1,0.034782609,0
0.939130435,0,0
0.855652174,0,0
1,0.036521739,0
1,0.128695652,0
1,0.043478261,0
0.984347826,0,0
0.930434783,0,0
0.980869565,0,0
0.987826087,0,0
0.975652174,0,0
0.993043478,0,0
1,0.013913043,0
0.963478261,0,0
1,0.048695652,0
1,0.069565217,0
0.99826087,0,0
0.987826087,0,0
1,0.020869565,0
1,0.022608696,0
1,0.013913043,0
0.991304348,0,0
1,0.132173913,0
1,0.043478261,0
1,0.010434783,0
1,0.010434783,0
0.96173913,0,0
1,0.003478261,0
1,0,0
0.968695652,0,0
0.909565217,0,0
0.91826087,0,0
0.966956522,0,0
1,0.055652174,0
0.92173913,0,0
1,0.00173913,0
1,0.066086957,0
0.982608696,0,0
1,0.008695652,0
0.96173913,0,0
0.980869565,0,0
0.942608696,0,0
0.87826087,0,0
0.92173913,0,0
0.826086957,0,0
0.728695652,0,0
0.766956522,0,0
0.779130435,0,0
0.775652174,0,0
0.76,0,0
0.669565217,0,0
0.746086957,0,0
0.75826087,0,0
0.819130435,0,0
0.751304348,0,0
0.725217391,0,0
0.739130435,0,0
0.713043478,0,0
0.791304348,0,0
0.700869565,0,0
0.765217391,0,0
0.726956522,0,0
0.723478261,0,0
0.67826087,0,0
0.75826087,0,0
0.706086957,0,0
0.779130435,0,0
0.775652174,0,0
0.813913043,0,0
0.697391304,0,0
0.676521739,0,0
0.709565217,0,0
0.71826087,0,0
0.859130435,0,0
0.829565217,0,0
0.827826087,0,0
0.845217391,0,0
0.779130435,0,0
0.726956522,0,0
0.671304348,0,0
0.700869565,0,0
0.8,0,0
0.728695652,0,0
0.79826087,0,0
0.775652174,0,0
0.808695652,0,0
0.709565217,0,0
0.68,0,0
0.716521739,0,0
0.784347826,0,0
0.739130435,0,0
0.664347826,0,0
0.683478261,0,0
0.793043478,0,0
0.824347826,0,0
0.75826087,0,0
0.714782609,0,0
0.723478261,0,0
0.68173913,0,0
0.702608696,0,0
0.733913043,0,0
0.735652174,0,0
0.777391304,0,0
0.732173913,0,0
0.728695652,0,0
0.699130435,0,0
0.707826087,0,0
0.72173913,0,0
0.753043478,0,0
0.773913043,0,0
0.740869565,0,0
0.770434783,0,0
0.693913043,0,0
0.83826087,0,0
0.72173913,0,0
0.747826087,0,0
0.622608696,0,0
0.8,0,0
0.860869565,0,0
0.747826087,0,0
0.711304348,0,0
0.702608696,0,0
0.660869565,0,0
0.770434783,0,0
0.773913043,0,0
0.83826087,0,0
0.813913043,0,0
0.747826087,0,0
0.76,0,0
0.796521739,0,0
0.76,0,0
0.68173913,0,0
0.653913043,0,0
0.836521739,0,0
0.820869565,0,0
0.76,0,0
0.704347826,0,0
1,0.019130435,0
0.662608696,0,0
0.744347826,0,0
0.652173913,0,0
0.63826087,0,0
0.660869565,0,0
0.659130435,0,0
0.819130435,0,0
0.803478261,0,0
0.746086957,0,0
0.782608696,0,0
0.711304348,0,0
0.75826087,0,0
0.690434783,0,0
0.751304348,0,0
0.72,0,0
0.76,0,0
0.746086957,0,0
0.67826087,0,0
0.730434783,0,0
0.702608696,0,0
0.650434783,0,0
0.728695652,0,0
0.673043478,0,0
0.653913043,0,0
0.594782609,0,0
0.968695652,0,0
0.8,0,0
0.667826087,0,0
0.728695652,0,0
0.742608696,0,0
0.728695652,0,0
0.723478261,0,0
0.673043478,0,0
0.796521739,0,0
0.702608696,0,0
0.690434783,0,0
0.88173913,0,0
0.700869565,0,0
0.794782609,0,0
0.817391304,0,0
0.753043478,0,0
0.709565217,0,0
0.716521739,0,0
0.768695652,0,0
0.634782609,0,0
0.855652174,0,0
0.909565217,0,0
0.777391304,0,0
0.634782609,0,0
0.76,0,0
0.747826087,0,0
0.744347826,0,0
0.909565217,0,0
0.688695652,0,0
0.805217391,0,0
0.673043478,0,0
0.746086957,0,0
0.735652174,0,0
0.666086957,0,0
0.732173913,0,0
0.749565217,0,0
0.76,0,0
0.784347826,0,0
0.8,0,0
0.747826087,0,0
0.707826087,0,0
0.728695652,0,0
0.819130435,0,0
0.709565217,0,0
0.768695652,0,0
0.780869565,0,0
0.754782609,0,0
0.67826087,0,0
0.786086957,0,0
0.796521739,0,0
0.645217391,0,0
0.746086957,0,0
0.714782609,0,0
0.751304348,0,0
0.765217391,0,0
0.808695652,0,0
0.72173913,0,0
1,0.72,0
1,0.8,0
1,0.76,0
1,0.44,0
1,0.271304348,0
1,0.234782609,0
1,0.210434783,0
1,0.307826087,0
1,0.307826087,0
1,0.32,0
1,0.293913043,0
1,0.325217391,0
1,0.139130435,0
1,0.153043478,0
1,0.23826087,0
1,0.113043478,0
1,0.213913043,0
1,0.2,0
1,0.189565217,0
1,0.424347826,0
1,0.170434783,0
1,0.220869565,0
1,0.175652174,0
1,0.213913043,0
1,0.234782609,0
1,0.170434783,0
1,0.165217391,0
1,0.193043478,0
1,0.172173913,0
1,0.24173913,0
1,0.220869565,0
1,0.415652174,0
1,0.269565217,0
1,0.380869565,0
1,0.220869565,0
1,0.205217391,0
1,0.271304348,0
1,0.304347826,0
1,0.292173913,0
1,0.304347826,0
1,0.299130435,0
1,0.271304348,0
1,0.365217391,0
1,0.309565217,0
1,0.32173913,0
1,0.285217391,0
1,0.227826087,0
1,0.273043478,0
1,0.306086957,0
1,0.328695652,0
1,0.163478261,0
1,0.434782609,0
1,0.366956522,0
1,0.260869565,0
1,0.293913043,0
1,0.424347826,0
1,0.353043478,0
1,0.337391304,0
1,0.326956522,0
1,0.39826087,0
1,0.335652174,0
1,0.335652174,0
1,0.415652174,0
1,0.52173913,0
1,0.323478261,0
1,0.323478261,0
1,0.342608696,0
1,0.410434783,0
1,0.250434783,0
1,0.339130435,0
1,0.217391304,0
1,0.36173913,0
1,0.391304348,0
1,0.39826087,0
1,0.39826087,0
1,0.349565217,0
1,0.387826087,0
1,0.405217391,0
1,0.473043478,0
1,0.375652174,0
1,0.44173913,0
1,0.476521739,0
1,0.311304348,0
1,0.39826087,0
